subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
1,2,4,3,3,19,1,7,3,6,5,6,2,1,4,3,4,2,5,6,4,7,6,7,7,7,7,7,2,6,4,7,7,6,7,6,4,7,7,5,7,7,7,7,6,6,7,4,6,4,5,4,6
2,1,1,1,1,22,2,5,7,2,3,4,3,1,5,6,4,3,4,5,5,6,4,4,6,6,6,4,6,4,6,7,4,7,4,5,5,5,4,2,5,7,5,7,6,6,4,7,5,5,7,5,5
3,1,5,5,5,20,3,3,6,5,6,4,5,5,5,6,7,3,5,7,5,6,4,6,6,6,4,6,4,3,5,7,5,5,4,4,3,6,5,4,5,6,6,5,5,5,7,5,4,3,4,3,4
4,2,5,4,4,20,1,5,5,4,5,6,5,4,5,6,3,4,2,3,3,6,5,6,7,7,4,7,5,5,7,7,7,1,5,5,5,7,6,5,7,7,4,6,6,5,7,5,3,3,4,4,3
5,2,5,5,5,19,1,2,7,7,5,2,5,6,7,7,7,6,3,4,3,5,5,7,4,6,4,6,4,6,7,2,6,7,2,6,4,7,6,4,7,6,6,4,5,6,2,7,4,5,5,5,2
6,1,3,3,3,18,2,7,5,7,7,7,5,2,3,5,6,1,6,6,7,7,7,7,7,5,3,7,6,6,7,7,7,7,6,7,5,7,7,4,7,7,3,7,7,7,7,7,7,7,7,4,7
7,1,9,1,5,20,1,7,7,7,1,1,1,1,7,1,1,4,7,1,1,4,7,4,7,7,7,7,7,7,7,7,7,4,7,4,4,7,7,5,7,7,7,6,7,7,7,7,4,5,7,2,1
8,2,3,1,3,19,1,7,3,7,4,7,6,1,5,7,4,4,1,4,3,7,5,3,7,5,6,7,4,4,5,7,7,7,3,7,7,5,2,7,6,7,2,6,7,7,7,6,4,3,6,3,4
9,1,5,5,5,19,1,6,2,5,6,7,5,4,7,7,7,5,4,7,7,4,7,7,4,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,6,6,3,5
10,1,9,6,7,18,2,6,7,5,2,5,6,5,6,7,7,4,7,7,6,5,7,6,7,7,7,7,5,5,4,7,6,6,3,6,6,7,7,7,6,7,5,7,7,5,6,7,6,5,5,7,2
11,2,6,5,6,19,1,4,6,2,3,6,5,6,5,6,5,4,5,3,4,6,5,5,3,5,6,7,4,4,6,7,4,5,6,4,5,6,5,6,4,6,3,4,6,5,7,5,3,2,3,4,1
12,1,9,9,9,19,1,2,6,7,7,6,7,5,5,7,7,3,7,7,7,6,7,7,4,7,5,7,7,7,7,7,4,5,5,7,5,7,7,7,7,7,6,7,5,5,7,7,7,7,4,6,7
13,2,4,1,3,18,1,6,4,6,4,6,3,4,3,4,5,4,2,3,3,5,6,5,7,5,4,7,5,5,4,7,6,6,4,6,6,6,5,5,4,7,5,5,6,6,7,7,4,4,6,5,5
14,2,6,6,6,22,2,3,4,6,7,6,4,5,5,5,6,2,4,5,5,5,7,5,6,4,2,7,3,5,7,7,6,7,6,4,7,7,4,6,7,7,7,7,6,5,7,7,4,4,4,7,3
15,1,5,5,5,18,2,5,5,7,4,7,6,6,5,7,7,1,1,7,7,5,7,6,7,4,6,7,6,7,7,7,7,7,6,7,4,7,7,7,7,6,3,7,7,6,7,7,7,7,4,7,5
16,2,9,9,9,20,2,2,7,5,6,5,5,6,5,7,2,2,1,3,5,5,7,6,7,5,5,7,4,7,7,7,7,7,5,5,4,7,7,5,7,6,7,7,6,6,6,7,6,6,6,6,4
17,1,3,2,3,18,2,7,7,7,1,3,7,1,7,7,6,1,3,7,1,7,7,5,7,2,3,7,3,4,2,7,7,7,1,3,4,7,7,5,7,7,2,7,7,7,7,7,7,3,7,7,4
18,1,5,5,6,19,3,3,7,7,5,7,6,6,5,6,7,3,4,7,7,2,7,7,7,7,2,6,6,7,7,7,6,6,4,4,6,7,7,3,6,7,5,7,6,6,5,7,6,4,7,6,6
19,2,8,8,8,19,2,1,5,7,2,7,6,7,3,7,7,3,5,6,6,4,7,4,6,6,4,7,2,3,5,7,6,7,4,4,3,7,6,7,3,7,4,7,7,7,7,4,4,5,5,7,4
20,2,7,7,7,19,2,1,3,4,5,5,4,7,2,6,7,4,5,7,6,4,6,5,3,5,4,7,4,5,7,7,6,5,4,4,4,5,4,6,4,7,5,7,2,4,5,4,4,5,4,6,5
21,2,7,5,6,19,1,7,7,7,1,5,3,1,6,3,2,1,7,5,6,7,7,4,7,6,4,7,6,4,6,7,7,6,7,7,7,5,7,5,7,7,3,5,7,7,7,7,6,5,7,3,3
22,1,3,1,3,19,2,7,5,7,7,7,1,1,5,2,2,2,1,1,2,4,5,4,6,5,3,7,4,6,4,7,7,7,4,7,4,3,2,1,4,7,6,7,7,7,7,5,2,4,2,2,2
